"","X","Address","lon","lat","AddressTrimmed"
"2626",59,"Les Crottes, 13015  ",5.3675297,43.3219604,"Les Crottes, 13015  "
"2627",61,"aurillac, Auvergne-Rhône-Alpes, 15000  ",2.4307539,44.9275602,"aurillac, Auvergne-Rhône-Alpes, 15000  "
"2628",63,"Marseille, 13015  ",5.362925,43.3680371,"Marseille, 13015  "
"2629",65,"Chateau Arnou, 4160  ",6.014992,44.0803356,"Chateau Arnou, 4160  "
"2630",67,"Paris, 75004  ",2.3522133,48.8565921,"Paris, 75004  "
"2631",69,"Oulchy Le Ch, 2210  ",3.3528509,49.1900861,"Oulchy Le Ch, 2210  "
"2632",71,"Strasbourg, Alsace-Champagne-Ardenne-Lorraine, 67000  ",7.7835217,48.6019858,"Strasbourg, Alsace-Champagne-Ardenne-Lorraine, 67000  "
"2633",73,"Beauvais, Nord-Pas-de-Calais-Picardie, 60000  ",2.0807123,49.4295387,"Beauvais, Nord-Pas-de-Calais-Picardie, 60000  "
"2634",75,"Hennebont, Bretagne, 56700  ",-3.275811,47.802625,"Hennebont, Bretagne, 56700  "
"2635",77,"Joue Les Tours, Centre-Val de Loire, 37300  ",0.6630262,47.33938,"Joue Les Tours, Centre-Val de Loire, 37300  "
"2636",79,"Auch, Languedoc-Roussillon-Midi-Pyrénées, 32002  ",0.773961,43.690664,"Auch, Languedoc-Roussillon-Midi-Pyrénées, 32002  "
"2637",81,"Tarnos, 40220  ",-1.4676394,43.5465009,"Tarnos, 40220  "
"2638",83,"Tarnos, 40220  ",-1.4676394,43.5465009,"Tarnos, 40220  "
"2639",85,"Saint Cloud, Île-de-France, 92210  ",2.208115,48.847647,"Saint Cloud, Île-de-France, 92210  "
"2640",87,"Nantes, Pays de la Loire, 44 000  ",-1.5408058,47.2239586,"Nantes, Pays de la Loire, 44 000  "
"2641",89,"Amiens, Nord-Pas-de-Calais-Picardie, 80000  ",2.2752772,49.89905,"Amiens, Nord-Pas-de-Calais-Picardie, 80000  "
"2642",91,"Bleone,   ",6.279031,44.147233,"Bleone,   "
"2643",93,"Lyon 7, Auvergne-Rhône-Alpes, 69007  ",4.8399378,45.7304251,"Lyon 7, Auvergne-Rhône-Alpes, 69007  "
"2644",95,"L'Isle/Sorgues, 84800  ",5.057106,43.91419,"L'Isle/Sorgues, 84800  "
"2645",97,"Isle sur Sorgue, 84800  ",5.057106,43.91419,"Isle sur Sorgue, 84800  "
"2646",99,"Pignans,   ",6.226458,43.30096,"Pignans,   "
"2647",101,"Bordeaux, Aquitaine-Limousin-Poitou-Charentes, 33000  ",-0.587269,44.8350088,"Bordeaux, Aquitaine-Limousin-Poitou-Charentes, 33000  "
"2648",103,"Annecy, Auvergne-Rhône-Alpes, 74000 View ListingClick To Load More Results Find A Church By NameChurch name:Enter any location:Search Now Featured AdvertisersCBD Superstore > use code 'CatholicLife' -->",6.1251614,45.8971718,"Annecy, Auvergne-Rhône-Alpes, 74000 "
"2649",5,"La Roque D'Antheron, 13640  ",5.2997959,43.7160378,"La Roque D'Antheron, 13640  "
"2650",7,"Marseille, 13014  ",5.3868423,43.3403539,"Marseille, 13014  "
"2651",9,"Trosly Breuil, Nord-Pas-de-Calais-Picardie, 60350  ",2.964671,49.402594,"Trosly Breuil, Nord-Pas-de-Calais-Picardie, 60350  "
"2652",11,"Les Grandes Ventes, Normandie, 76950  ",1.2346863,49.7714281,"Les Grandes Ventes, Normandie, 76950  "
